NGC7380;22h47.3m;+58d08m;Cent;Open Clus; 7.4;20m      ;Caroline Herschel
OMe1   ;23h40.7m;+07d57m;PicA;Asterism ;----;15m      ;Alessi           
NGC7789;23h57.5m;+56d43m;Cari;Open Clus; 6.6;25m      ;Caroline Herschel
NGC7793;23h57.8m;-32d35m;Sagi;Galaxy   ; 9.2;9.2m-6.4m;Bondms           
NGC134 ;00h30.4m;-33d15m;Sagi;Galaxy   ;10;7.6m-1.5m  ;Giant Squid      
NGC1245;03h14.7m;+47d14m;Pega;Open Clus; 8.4;10m      ;None             
NGC1300;03h19.7m;-19d25m;Equu;Galaxy   ;10.4;5.5m-2.9m;None             
NGC1491;04h03.4m;+51d19m;Pega;Brigt Neb;----;25m-25m  ;None             
NGC1514;04h09.0m;+30d47m;Sext;Plnty Neb;10.9;2.3m-2.0m;None             
NGC2022;05h42.1m;+09d05m;Ophi;Plnty Neb;11.0;28m-27m  ;None             
NGC3114;10h02.7m;-60d06m;Capr;Open Clus; 4.2;35m      ;None             
NGC3918;11h50.3m;-57d11m;Cass;Plnty Neb; 8.1;12m      ;None             
IC4406 ;14h22.4m;-44d09m;Libr;Plnty Neb;10.3;1.7m-0.6m;Retina           
NGC5617;14h29.7m;-60d42m;Cass;Open Clus; 6.3;10m      ;None             
NGC5846;15h06.5m;+01d36m;Vela;Galaxy   ;10;4.9m-4.4m  ;None             
NGC5907;15h15.9m;+56d20m;Dora;Galaxy   ;10.9;11.2m-1.9;Splinter         
NGC5927;15h28.0m;-50d40m;Libr;Glob Clus; 8.0;6m       ;None             
IC4603 ;16h25.6m;-24d28m;Octa;Brigt Neb;----;35m-20m  ;None             
NGC6356;17h23.6m;-17d49m;Octa;Glob Clus; 8.2;10m      ;None             
NGC6388;17h36.3m;-44d44m;Sagi;Glob Clus; 6.8;10.4m    ;None             
NGC6664;18h36.5m;-08d11m;Scor;Open Clus; 7.7;12m      ;None             
NGC6781;19h18.5m;+06d32m;Apus;Plnty Neb;11.4;1.9m-1.8m;Ghost Moon       
NGC6905;20h22.4m;+20d06m;Cygn;Plnty Neb;11.1;42m-35m  ;Blue Flash       
NGC6939;20h31.5m;+60d40m;Cent;Open Clus; 7.8;10m      ;Ghost Bush       
